album_id,genre,song_name
10521521,"랩/힙합, 댄스, 발라드, R&B/Soul",Life Goes On
2677681,"댄스, 발라드",상상더하기
2059186,"포크/블루스, 클래식, 크로스오버",애상
10179508,"인디음악, 일렉트로니카",Way Back Home
10173365,"댄스, 발라드",켜줘 (Light)
1276855,"발라드, 댄스",Fiction
773051,"발라드, 댄스, 록/메탈",사랑이 술을 가르쳐 (Feat. 백찬 From 8eight)
1024955,발라드,헤어지러 가는 길 (Feat. 조권)
10425277,"발라드, 인디음악",서면역에서
10638275,발라드,바라만 본다
1139654,발라드,처음 사랑하는 연인들을 위해 (반말송)
10863559,"댄스, 발라드, R&B/Soul",INVU
10830791,댄스,Step Back
10589127,"댄스, R&B/Soul, 록/메탈, 일렉트로니카",ASAP
10040265,"R&B/Soul, 록/메탈, 발라드, 댄스",Fine
2200521,랩/힙합,착해 빠졌어 (Stupid In Love)
10083276,록/메탈,사랑하지 않은 것처럼
10232781,"댄스, R&B/Soul, 발라드",Love Shot
2638798,발라드,또 다시 사랑
2225097,"발라드, 국내드라마",별처럼
10873811,"댄스, R&B/Soul",RUN2U
10144723,"댄스, 발라드",BOOMERANG (부메랑)
2673620,"발라드, 국내드라마, 랩/힙합",다시 너를
10865624,발라드,"너, 너 (N번째 연애 X 휘인 (Whee In))"
10083290,발라드,all of my life
10056666,"발라드, 댄스, R&B/Soul",팔레트 (Feat. G-DRAGON)
2687963,"발라드, 국내드라마",너였다면
2681820,발라드,내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태)
10804190,"국내드라마, 발라드",서랍
10810337,"국내드라마, 발라드",우리가 헤어져야 했던 이유
2186215,"일렉트로니카, 댄스",콩떡빙수
1125351,댄스,샤이보이
2243562,랩/힙합,뜨래요 (Feat. 앙리 Of 3B)
10068972,"댄스, 발라드",Why Don't You Know (Feat. 넉살)
10636269,"국내드라마, 발라드",가을 우체국 앞에서
10359789,발라드,나의 오랜 연인에게
1235959,"댄스, 발라드",거울아 거울아
10234872,댄스,MILLIONS
10423289,"댄스, 발라드",Dolphin
2214910,발라드,편지
2663424,R&B/Soul,잊어버리지마 (Feat. 태연)
10521601,랩/힙합,VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
10245121,랩/힙합,이 노래가 클럽에서 나온다면
2282505,"인디음악, 록/메탈",위잉위잉
2329610,"댄스, 발라드",Remember
10716174,"R&B/Soul, 인디음악",찰나가 영원이 될 때 (The Eternal Moment)
2167822,발라드,되돌리다
2311184,랩/힙합,아무도 모르게 (Prod. by MC몽)
2092046,발라드,너도 나처럼
1000465,R&B/Soul,결혼까지 생각했어
2640915,랩/힙합,바람이나 좀 쐐 (Feat. 우혜미)
2710553,발라드,넋두리
2292762,"발라드, 국내드라마",바라보기
2079769,"발라드, 댄스",니가 필요해 (I Need You)
10316828,"국내드라마, 발라드",내 목소리 들리니
10038305,발라드,비가와 (Rain)
2640930,R&B/Soul,어깨
2235426,"댄스, 발라드",Mr.Mr.
2309156,"댄스, 발라드",Ice Cream Cake
2692133,랩/힙합,19금 니가 알던 내가 아냐 (Prod. By GRAY)
10916904,랩/힙합,LOVE me
2313257,댄스,한번 더 말해줘 (Feat. 장한나)
828461,"발라드, 댄스",잘못했어
2288687,랩/힙합,내가 그리웠니 (Feat. 진실 Of Mad Soul Child)
2067506,발라드,널 사랑하겠어
2665523,발라드,Rain
2180147,랩/힙합,어때 (Feat. 하림)
10368053,"댄스, R&B/Soul, 발라드, 재즈, 애시드/퓨전/팝",Psycho
2309174,발라드,두사랑 (Feat. 매드클라운)
1104951,랩/힙합,Oh Yeah (Feat. 박봄)
2020402,랩/힙합,나쁘다 (feat. 진실)
2268221,댄스,Touch My Body
2169918,"발라드, 댄스",Goodbye To Romance
11004992,"댄스, 랩/힙합, R&B/Soul",SNEAKERS
10939458,"댄스, 발라드",FEARLESS
10576966,"록/메탈, 포크/블루스",On The Ground
10501191,댄스,DON'T TOUCH ME
2692170,"R&B/Soul, 발라드",Bye bye my blue
2708558,"발라드, 국내드라마",구르미 그린 달빛
10476623,댄스,운전만해 (We Ride)
2198610,"국내드라마, 발라드, R&B/Soul",Touch Love
1236055,"댄스, 발라드",LOVE SONG
11062364,R&B/Soul,Rush Hour (Feat. j-hope of BTS)
10409054,"국내드라마, 발라드",아로하
2686047,"발라드, R&B/Soul",쏘쏘
11045985,랩/힙합,새삥 (Prod. ZICO) (Feat. 호미들)
10388581,"국내드라마, 발라드",그때 그 아인
2321510,랩/힙합,뱅뱅뱅 (BANG BANG BANG)
2174057,댄스,있다 없으니까 (Gone Not Around Any Longer)
