,year,rank,song_name,artist,likes,album_id,song_id
285,2020년,86,헤어진 우리가 지켜야 할 것들,김나영,"80,275",10359196,32224383
286,2020년,87,둘만의 세상으로 가,Crush,"59,542",10385896,32364000
287,2020년,88,취했나봐,황인욱,"54,257",10434085,32616054
288,2020년,89,새 사랑,송하예,"100,313",10337665,32091557
289,2020년,90,덤디덤디 (DUMDi DUMDi),(여자)아이들,"127,276",10470992,32833393
290,2020년,91,We are Bulletproof : the Eternal,방탄소년단,"147,378",10377346,32399837
291,2020년,92,19금 BAND,창모 (CHANGMO),"140,407",10294820,31854689
292,2020년,93,깡 Official Remix,식케이 (Sik-K),"71,703",10439549,32646938
293,2020년,94,그대라는 시,태연 (TAEYEON),"235,808",10309213,31938460
294,2020년,95,Inner Child,방탄소년단,"145,010",10377346,32399833
295,2020년,96,사계 (Four Seasons),태연 (TAEYEON),"267,915",10265079,31688205
296,2020년,97,찐이야,영탁,"68,727",10402513,32457751
297,2020년,98,비,폴킴,"307,618",2692501,8235260
298,2020년,99,"너에게 난, 나에게 넌",미도와 파라솔,"79,388",10436942,32631950
299,2020년,100,어떤 날엔,김재환,"65,880",10377241,32323639
300,2019년,1,사랑에 연습이 있었다면 (Prod. 2soo),임재현,"229,268",10207131,31324607
301,2019년,2,그때가 좋았어,케이시 (Kassy),"249,027",10237420,31524320
302,2019년,3,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"443,958",10273641,31737197
303,2019년,4,넘쳐흘러,엠씨더맥스 (M.C the MAX),"170,340",10238710,31532643
304,2019년,5,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"428,626",10149492,30962526
305,2019년,6,너를 만나,폴킴,"323,085",10217134,31388145
306,2019년,7,사계 (Four Seasons),태연 (TAEYEON),"267,915",10265079,31688205
307,2019년,8,주저하는 연인들을 위해,잔나비,"396,989",10260858,31666417
308,2019년,9,니 소식,송하예,"205,573",10283614,31788850
309,2019년,10,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"283,892",10294603,31853557
310,2019년,11,벌써 12시,청하,"170,122",10238683,31532438
311,2019년,12,술이 문제야,장혜진,"157,641",10297571,31870517
312,2019년,13,옥탑방 (Rooftop),엔플라잉 (N.Flying),"289,635",10238711,31532656
313,2019년,14,달라달라,ITZY (있지),"173,186",10250473,31606729
314,2019년,15,노래방에서,장범준,"209,176",10264375,31684636
315,2019년,16,이 노래가 클럽에서 나온다면,우디 (Woody),"157,576",10245121,31576009
316,2019년,17,포장마차,황인욱,"162,825",10298014,31873020
317,2019년,18,"나만, 봄",볼빨간사춘기,"196,511",10268898,31709523
318,2019년,19,사계 (하루살이),엠씨더맥스 (M.C the MAX),"131,669",10238710,31532642
319,2019년,20,안녕,폴킴,"217,809",10317137,31984204
320,2019년,21,180도,벤,"170,050",10230497,31477685
321,2019년,22,너에게 못했던 내 마지막 말은,다비치,"173,401",10286309,31804010
322,2019년,23,신용재,하은 (포맨),"141,138",10219644,31406357
323,2019년,24,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"314,700",10320500,32003395
324,2019년,25,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"416,491",10331947,32061975
325,2019년,26,솔직하게 말해서 나,김나영,"157,528",10294763,31854442
326,2019년,27,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"174,851",10268441,31706215
327,2019년,28,FANCY,TWICE (트와이스),"139,246",10276861,31754579
328,2019년,29,헤어져줘서 고마워,벤,"137,461",10302879,31901475
329,2019년,30,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),"129,957",10290621,31829536
330,2019년,31,시든 꽃에 물을 주듯,HYNN (박혜원),"222,500",10267986,31703498
331,2019년,32,초록빛,폴킴,"151,879",10243480,31565593
332,2019년,33,기억해줘요 내 모든 날과 그때를,거미,"163,055",10314289,31967064
333,2019년,34,그대라는 시,태연 (TAEYEON),"235,808",10309213,31938460
334,2019년,35,Way Back Home,숀 (SHAUN),"364,454",10179508,31151836
335,2019년,36,봄날,방탄소년단,"551,019",10037969,30244931
336,2019년,37,IDOL,방탄소년단,"320,333",10197480,31266290
337,2019년,38,멍청이(twit),화사 (HWASA),"134,074",10250874,31608765
338,2019년,39,신청곡 (Feat. SUGA of BTS),이소라,"227,458",10244499,31571110
339,2019년,40,띵 (Prod. By 기리보이),Jvcki Wai,"141,642",10241866,31554317
340,2019년,41,너도 그냥 날 놓아주면 돼,윤건,"138,418",10227145,31455159
341,2019년,42,당신과는 천천히,장범준,"123,648",10264375,31684634
342,2019년,43,Kill This Love,BLACKPINK,"155,461",10270288,31717822
343,2019년,44,이별하러 가는 길,임한별,"153,869",10203965,31304766
344,2019년,45,SOLO,제니 (JENNIE),"222,787",10221424,31417871
345,2019년,46,비,폴킴,"307,618",2692501,8235260
346,2019년,47,내 생에 아름다운,케이윌,"175,120",10214874,31373277
347,2019년,48,YES or YES,TWICE (트와이스),"161,803",10219298,31403163
348,2019년,49,Love Shot,EXO,"199,636",10232781,31492319
