Song_ID,Genre,Lyrics
1794550,랩/힙합,Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의 눈동자나는 가끔씩맨 몸으로 서있곤 해그런 날에는 너도 알지오히려 왜마음이 편안해지는 기분내가 걸어왔고또 앞으로 가야 할 길을돌아보게 돼 어린시절 그땐 왜그렇게도 옹졸했는지큰 강물은 쉬 방향이바뀌지 않는다는 걸그 시절 나는 잘 몰랐지이제 난인간은 약하단 걸 아는 나이그리고 너와 난많이 닮아있음을 알지드넓은 우주그 속의 아주 작은 공간지구라는 행성그 안의 작은 드라마드라마 드라마I love you아무것도 가진 게 없다고 느꼈던그 시절 널 만났지친한 친구도 아직 잘 모르지만우리는 사실한 인터넷 채팅 싸이틀 통해 만났어옷깃을 닫고걸어야 할 10월의조금 차가워진 바람메마른 고민에 차어느 강물을 따라가도나올 것 같지가 않던 종착역내가 항상 꿈꾸던 바다비슷했어 어릴적의 꿈에서벗어나지 못해 세상이란 늪에서항상 자신을 혼자라고 느꼈고사람은 원래가 차갑다고 느꼈어근데 너는 왜그렇게 맑은 눈으로 날 바라봤니어떻게 우리가 사랑할 것을 알았지무엇도 이룩하지 못한못난 나의 차갑던 두 손을따스히 감싸줬지Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의 눈동자Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의인파속에 아무렇게나 뒤섞여있어도 난 알아볼 수가 있어 널지구 위 딱 하나뿐인 내 짝처음 네게 다가갔을 때 넌의심에 찬 눈으로 날 바라보았지알고 있어넌 지나간 인연으로 아직아파하고 있었다는 것그 땐 내게 어떤일이 벌어졌는지 몰랐지이제와 돌아보니까너를 알게 됨으로써비로소 진짜 내 모습을찾을 수 있었던 것 같아따스함을 원한다면you can always come to mi casa이런 느낌은 너 뿐이야 girl삶이 내게 준 선물이야오랫동안 함께이고 싶어우리가 눈 감을 때I want you to be byMY Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의 눈동자Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의 눈동자Sexual Porno그런 스트레스 더미소모적인 감성이너를 대신할 수 없지회색빛 아스팔트 구원의 손길비 개인 하늘 같은 너의 눈동자
451088,포크/블루스,Happy birthday to youHappy birthday to youHappy birthday to당신의 날 축하합니다오늘은 내가 좋아하는 그녀가세상에 태어난 생일이라 하는그런 날 좋은 날Happy birthday to youHappy birthday to youHappy birthday to당신의 날 축하합니다오늘은 내가 좋아하는 친구가세상에 태어난 생일이라 하는좋은 날 기쁜 날기억해요 오늘만은 세상 모두가내가 제일 좋아하는당신의 생일Happy birthday to당신의 날 축하합니다우 우 우우 우우우우Happy birthday to youHappy birthday to youHappy birthday to당신의 날 축하합니다축하합니다축하합니다
35463721,"키즈, 창작동요",하나둘셋 후모두 축하해줘요하나둘셋 후후모두 소원빌어요내가 갖고싶은 장남감 갖게해달라고 빌고내가 제일 좋아하는과자도 주세요하나둘셋 후모두 축하해줘요하나둘셋 후후모두 소원빌어요 내가 갖고싶은예쁜구두갖게해달라고 빌고내가 제일 좋아하는젤리도 주세요소원을 비는데뭔가 빠진것같아우리엄마 아빠 동생제일 소중한 우리가족마지막 내 소원은우리가족 건강하게오래 오래 행복하게살게해달라는거예요
1114699,발라드,세상에 제일 멋진것이 무얼까그걸 찾아 너에게 주겠어내일이 오기전에 찾아 놔야해널닮은 인형은 없을까언제 어디에 있어도 넌 항상 내게 있어나의 작은수첩속에미소짓는 너의 생일이야사랑해요향기로운 숨결도 너의 작은 투정까지너의 태어남 으로 나도 태어난거야세상에 제일 예쁜 것이 무얼까그걸찾아 너에게 주겠어오늘이 가기 전에 찾아놔야해좋아서 울어야 할텐데언제 어디에 있어도 넌 항상 내게 잇어나의 작은 수첩속에 미소짓는너의생일이야사랑해요향기로운 숨결도 너의 작은 투정까지너의 태어남으로 나도 태어난거야내방에 걸려진 너의 웃는 사진보며밤새워 하얀 너의 얼굴 그려서내가 만든 아주 작은 선물 이지만너무 좋아 기뻐하겠지사랑해향기로운 숨결도 너의 작은 투정까지
1098326,"키즈, 창작동요",생일 축하 합니다생일 축하 합니다사랑하는 친구의생일 축하 합니다생일 축하 합니다생일 축하 합니다사랑하는 친구의생일 축하 합니다
4285016,일렉트로니카,아리아리아리랑 아 아 아리랑 아리아리아리랑 아리 아리랑 Ari Ari Arirang Ah ah Arirang Ari Ari Arirang Ari Arirang 아리아리아리랑 아 아 아리랑 아리아리아리랑 아리 아리랑 Ari Ari Arirang Ah ah Arirang Ari Ari Arirang Ari Arirang 아리아리아리랑 아 아 아리랑아리아리아리랑 아리 아리랑Ari Ari Arirang Ah ah ArirangAri Ari Arirang Ari Arirang
4285018,일렉트로니카,Ladies and GentlemenThis is Gag BoyThis is music for brainThis is music for brainThis is music for brainThis is music for brainMusic for brainMusic for brainMusic for brainMusic for brain머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래This is music for brainThis is music for brainThis is music for brainThis is music for brain머리 좋아지는 음악머리 좋아지는 노래머리 좋아지는 음악머리 좋아지는 노래머리 좋아지는 노래This is music for brainThis is music for brain머리 좋아지는 노래머리가 좋아져머리가 좋아져머리가 좋아져머리가 좋아져This is music for brainThis is music for brainThis is music for brainThis is music for brain머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 음악노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래머리 좋아지는 노래 예This is music for brainThis is music for brain
4285020,일렉트로니카,Ladies and gentlemenLet me introduceHere is GagBoyIt's a Electro ClassicThis is Electro classicLadies and gentlemenLet me introduceThis is Electro ClassicI am a GagboyMy name is GagboyGagboy Gagboy Gagboy GagboyCha Electro ClassicIt's Gagboy's electro classic여러분 여러분들은 지금 개그보이의 일렉트로 클래식을 듣고 계십니다It's a Electro Classic
4285022,일렉트로니카,아메리카노 어디가  아메리카노 어디가  아메리카노 마시자  아메리카노 마시자  아메리카노 어디가  아메리카노 마시자 Ameri cano Ah mulli Gano
4285023,일렉트로니카,서울대 서울대 서울대 학교 서울대 서울대 서울대 학교 서울대 서울대 서울대 학교 서울대 서울대 서울대 학교 서울대 학생 모여라 서울대 학생 모여라 서울대 서울대 서울대 학교 서울대 학생 모여라 서울대 학생 모여라 서울대 학생 모여라 서일대 학생 모여라 서울대 서일대 서울대 서일대
